Kezdet;Vég;Kezdeményező;Fogadó
21.09.27-15:00:37;21.09.27-15:04:19;Marci;Krisztián
21.09.27-15:01:33;21.09.27-15:02:46;Dénes;Andrea
21.09.27-15:01:38;21.09.27-15:05:59;Tibor;Marci
21.09.27-15:03:00;21.09.27-15:11:07;Bence;Annamari
21.09.27-15:07:54;21.09.27-15:08:07;Dénes;Krisztián
21.09.27-15:07:55;21.09.27-15:16:40;Zsombor;Kata
21.09.27-15:08:07;21.09.27-15:08:26;Anna;Zsombor
21.09.27-15:08:14;21.09.27-15:08:56;Pali;Andrea
21.09.27-15:08:06;21.09.27-15:10:18;Kata;Laci
21.09.27-15:10:19;21.09.27-15:16:34;Annamari;Marci
21.09.27-15:11:41;21.09.27-15:16:47;Gábor;Zsombor
21.09.27-15:11:04;21.09.27-15:18:15;Marci;Andrea
21.09.27-15:13:53;21.09.27-15:23:18;Marietta;Norbert
21.09.27-15:17:16;21.09.27-15:19:43;Dénes;Norbert
21.09.27-15:20:04;21.09.27-15:21:45;Dénes;Gábor
21.09.27-15:20:34;21.09.27-15:24:17;Marci;Annamari
21.09.27-15:21:23;21.09.27-15:31:41;Laci;Anna
21.09.27-15:25:40;21.09.27-15:35:50;Dénes;Marci
21.09.27-15:27:04;21.09.27-15:31:24;Lili;Andrea
21.09.27-15:30:27;21.09.27-15:35:48;Pali;Dénes
21.09.27-15:32:54;21.09.27-15:35:31;Laci;Lili
21.09.27-15:32:29;21.09.27-15:41:19;Lili;Krisztián
21.09.27-15:33:10;21.09.27-15:34:32;Bence;Kata
21.09.27-15:35:31;21.09.27-15:36:30;Annamari;Gábor
21.09.27-15:35:36;21.09.27-15:39:41;Norbert;Marietta
21.09.27-15:36:16;21.09.27-15:41:15;Zsombor;Marci
21.09.27-15:38:58;21.09.27-15:39:17;Pali;Andrea
21.09.27-15:38:25;21.09.27-15:39:50;Norbert;Kata
21.09.27-15:40:15;21.09.27-15:46:17;Marietta;Krisztián
21.09.27-15:42:52;21.09.27-15:48:20;Anna;Laci
21.09.27-15:42:42;21.09.27-15:48:16;Pali;Annamari
21.09.27-15:43:02;21.09.27-15:49:09;Zsombor;Marietta
21.09.27-15:46:33;21.09.27-15:47:38;Andrea;Tibor
21.09.27-15:47:17;21.09.27-15:57:26;Dénes;Lili
21.09.27-15:48:35;21.09.27-15:51:23;Tibor;Kata
21.09.27-15:49:51;21.09.27-15:58:42;Anna;Erzsi
21.09.27-15:50:51;21.09.27-16:00:31;Pali;Andrea
21.09.27-15:51:40;21.09.27-16:01:10;Dénes;Gizella
21.09.27-15:53:17;21.09.27-15:58:44;Andrea;Botond
21.09.27-15:55:04;21.09.27-15:56:21;Anna;Tibor
21.09.27-15:58:46;21.09.27-16:00:46;Kata;Zsombor
21.09.27-16:01:06;21.09.27-16:08:22;Krisztián;Norbert
21.09.27-16:01:28;21.09.27-16:09:19;Botond;Marietta
21.09.27-16:04:18;21.09.27-16:14:15;Krisztián;Lili
21.09.27-16:05:16;21.09.27-16:14:49;Lili;Anna
21.09.27-16:06:35;21.09.27-16:12:47;Marietta;Norbert
21.09.27-16:07:31;21.09.27-16:07:57;Bence;Laci
21.09.27-16:07:05;21.09.27-16:16:37;Dénes;Anna
21.09.27-16:10:28;21.09.27-16:14:20;Andrea;Annamari
21.09.27-16:10:46;21.09.27-16:20:32;Gábor;Marci
21.09.27-16:10:15;21.09.27-16:20:05;Kata;Andrea
21.09.27-16:12:54;21.09.27-16:13:13;Dénes;Tibor
21.09.27-16:16:49;21.09.27-16:17:33;Lili;Krisztián
21.09.27-16:16:24;21.09.27-16:20:27;Krisztián;Erzsi
21.09.27-16:19:27;21.09.27-16:26:15;Marietta;Botond
21.09.27-16:19:33;21.09.27-16:27:30;Pali;Dénes
21.09.27-16:20:12;21.09.27-16:22:31;Tibor;Andrea
21.09.27-16:20:33;21.09.27-16:26:55;Pali;Erzsi
21.09.27-16:22:10;21.09.27-16:23:39;Dénes;Botond
21.09.27-16:23:40;21.09.27-16:32:14;Gábor;Marci
21.09.27-16:24:19;21.09.27-16:26:02;Lili;Laci
21.09.27-16:25:10;21.09.27-16:25:46;Gábor;Dénes
21.09.27-16:27:48;21.09.27-16:31:04;Marci;Kata
21.09.27-16:28:11;21.09.27-16:34:43;Norbert;Tibor
21.09.27-16:32:25;21.09.27-16:39:03;Erzsi;Marci
21.09.27-16:33:41;21.09.27-16:35:56;Anna;Norbert
21.09.27-16:34:58;21.09.27-16:38:32;Zsombor;Erzsi
21.09.27-16:36:06;21.09.27-16:37:40;Zsombor;Botond
21.09.27-16:37:52;21.09.27-16:38:52;Laci;Erzsi
21.09.27-16:37:33;21.09.27-16:41:54;Gábor;Kata
21.09.27-16:38:55;21.09.27-16:43:51;Erzsi;Bence
21.09.27-16:38:48;21.09.27-16:44:00;Marci;Kata
21.09.27-16:39:16;21.09.27-16:40:04;Laci;Marci
21.09.27-16:39:34;21.09.27-16:45:00;Tibor;Pali
21.09.27-16:40:33;21.09.27-16:41:10;Dénes;Pali
21.09.27-16:40:26;21.09.27-16:47:48;Marci;Anna
21.09.27-16:43:39;21.09.27-16:53:31;Lili;Botond
21.09.27-16:45:13;21.09.27-17:05:12;Tibor;Anna
21.09.27-16:47:55;21.09.27-16:55:08;Pali;Andrea
21.09.27-16:48:25;21.09.27-16:49:44;Krisztián;Dénes
21.09.27-16:48:22;21.09.27-16:50:40;Dénes;Annamari
21.09.27-16:49:01;21.09.27-16:49:23;Bence;Tibor
21.09.27-16:50:33;21.09.27-16:54:36;Anna;Lili
